purpose_id,organ,element,state,ingredient_id,strength,priority,rationale
P_脾_血_不足,脾,血,不足,I001,3,2,脾血不足への作用(赤貝)
P_肝_水_不足,肝,水,不足,I002,3,2,肝水不足への作用(アサリ)
P_肝_熱_過剰,肝,熱,過剰,I002,3,2,肝熱過剰への作用(アサリ)
P_心_水_不足,心,水,不足,I002,3,2,心水不足への作用(アサリ)
P_心_熱_過剰,心,熱,過剰,I002,3,2,心熱過剰への作用(アサリ)
P_肺_水_不足,肺,水,不足,I002,3,2,肺水不足への作用(アサリ)
P_肺_熱_過剰,肺,熱,過剰,I002,3,2,肺熱過剰への作用(アサリ)
P_腎_水_不足,腎,水,不足,I002,3,2,腎水不足への作用(アサリ)
P_腎_熱_過剰,腎,熱,過剰,I002,3,2,腎熱過剰への作用(アサリ)
P_脾_熱_不足,脾,熱,不足,I003,3,2,脾熱不足への作用(アジ)
P_脾_水_停滞,脾,水,停滞,I004,3,2,脾水停滞への作用(小豆)
P_肺_水_停滞,肺,水,停滞,I004,3,2,肺水停滞への作用(小豆)
P_腎_水_停滞,腎,水,停滞,I004,3,2,腎水停滞への作用(小豆)
P_肺_水_不足,肺,水,不足,I005,3,2,肺水不足への作用(アスパラガス)
P_腎_水_不足,腎,水,不足,I005,3,2,腎水不足への作用(アスパラガス)
P_脾_熱_過剰,脾,熱,過剰,I006,3,2,脾熱過剰への作用(アワ)
P_肺_水_不足,肺,水,不足,I007,3,2,肺水不足への作用(アワビ)
P_腎_水_不足,腎,水,不足,I007,3,2,腎水不足への作用(アワビ)
P_肝_血_不足,肝,血,不足,I008,3,2,肝血不足への作用(イカ)
P_心_血_不足,心,血,不足,I008,3,2,心血不足への作用(イカ)
P_脾_水_不足,脾,水,不足,I009,3,2,脾水不足への作用(イチゴ)
P_脾_水_不足,脾,水,不足,I010,3,2,脾水不足への作用(イチジク)
P_脾_熱_過剰,脾,熱,過剰,I010,3,2,脾熱過剰への作用(イチジク)
P_肺_水_不足,肺,水,不足,I011,3,2,肺水不足への作用(猪肉)
P_腎_水_不足,腎,水,不足,I011,3,2,腎水不足への作用(猪肉)
P_脾_気_不足,脾,気,不足,I012,3,2,脾気不足への作用(イワシ)
P_肺_気_不足,肺,気,不足,I012,3,2,肺気不足への作用(イワシ)
P_脾_熱_不足,脾,熱,不足,I013,3,2,脾熱不足への作用(イワナ)
P_腎_熱_不足,腎,熱,不足,I013,3,2,腎熱不足への作用(イワナ)
P_脾_気_不足,脾,気,不足,I014,3,2,脾気不足への作用(インゲン)
P_肺_水_不足,肺,水,不足,I015,3,2,肺水不足への作用(ウズラのタマゴ)
P_腎_水_不足,腎,水,不足,I015,3,2,腎水不足への作用(ウズラのタマゴ)
P_脾_水_停滞,脾,水,停滞,I016,3,2,脾水停滞への作用(ウド)
P_肺_水_停滞,肺,水,停滞,I016,3,2,肺水停滞への作用(ウド)
P_腎_水_停滞,腎,水,停滞,I016,3,2,腎水停滞への作用(ウド)
P_脾_気_不足,脾,気,不足,I017,3,2,脾気不足への作用(ウナギ)
P_脾_血_停滞,脾,血,停滞,I018,3,2,脾血停滞への作用(ウニ)
P_肺_水_不足,肺,水,不足,I019,3,2,肺水不足への作用(梅)
P_腎_水_不足,腎,水,不足,I019,3,2,腎水不足への作用(梅)
P_脾_気_不足,脾,気,不足,I020,3,2,脾気不足への作用(うるち米)
P_肝_気_停滞,肝,気,停滞,I021,3,2,肝気停滞への作用(エシャロット)
P_脾_気_停滞,脾,気,停滞,I021,3,2,脾気停滞への作用(エシャロット)
P_肺_気_停滞,肺,気,停滞,I021,3,2,肺気停滞への作用(エシャロット)
P_脾_熱_不足,脾,熱,不足,I022,3,2,脾熱不足への作用(エビ)
P_腎_熱_不足,腎,熱,不足,I022,3,2,腎熱不足への作用(エビ)
P_脾_気_不足,脾,気,不足,I023,3,2,脾気不足への作用(オートミール)
P_脾_熱_過剰,脾,熱,過剰,I024,3,2,脾熱過剰への作用(大麦)
P_脾_熱_過剰,脾,熱,過剰,I025,3,2,脾熱過剰への作用(おから)
P_脾_気_不足,脾,気,不足,I026,3,2,脾気不足への作用(オクラ)
P_脾_水_不足,脾,水,不足,I026,3,2,脾水不足への作用(オクラ)
P_脾_気_不足,脾,気,不足,I027,3,2,脾気不足への作用(おこげ)
P_脾_気_不足,脾,気,不足,I028,3,2,脾気不足への作用(オタネニンジン（高麗人参、吉林人参）)
P_肝_熱_過剰,肝,熱,過剰,I029,3,2,肝熱過剰への作用(オリーブ)
P_心_熱_過剰,心,熱,過剰,I029,3,2,心熱過剰への作用(オリーブ)
P_脾_気_停滞,脾,気,停滞,I030,3,2,脾気停滞への作用(オレンジ)
P_肝_血_停滞,肝,血,停滞,I031,3,2,肝血停滞への作用(海藻（ワカメ、ヒジキなど）)
P_肝_水_停滞,肝,水,停滞,I031,3,2,肝水停滞への作用(海藻（ワカメ、ヒジキなど）)
P_脾_血_停滞,脾,血,停滞,I031,3,2,脾血停滞への作用(海藻（ワカメ、ヒジキなど）)
P_脾_水_停滞,脾,水,停滞,I031,3,2,脾水停滞への作用(海藻（ワカメ、ヒジキなど）)
P_肺_血_停滞,肺,血,停滞,I031,3,2,肺血停滞への作用(海藻（ワカメ、ヒジキなど）)
P_肺_水_停滞,肺,水,停滞,I031,3,2,肺水停滞への作用(海藻（ワカメ、ヒジキなど）)
P_腎_血_停滞,腎,血,停滞,I031,3,2,腎血停滞への作用(海藻（ワカメ、ヒジキなど）)
P_腎_水_停滞,腎,水,停滞,I031,3,2,腎水停滞への作用(海藻（ワカメ、ヒジキなど）)
P_肺_水_不足,肺,水,不足,I032,3,2,肺水不足への作用(カキ)
P_腎_水_不足,腎,水,不足,I032,3,2,腎水不足への作用(カキ)
P_肝_水_不足,肝,水,不足,I033,3,2,肝水不足への作用(柿)
P_肝_熱_過剰,肝,熱,過剰,I033,3,2,肝熱過剰への作用(柿)
P_心_水_不足,心,水,不足,I033,3,2,心水不足への作用(柿)
P_心_熱_過剰,心,熱,過剰,I033,3,2,心熱過剰への作用(柿)
P_肺_水_不足,肺,水,不足,I033,3,2,肺水不足への作用(柿)
P_肺_熱_過剰,肺,熱,過剰,I033,3,2,肺熱過剰への作用(柿)
P_腎_水_不足,腎,水,不足,I033,3,2,腎水不足への作用(柿)
P_腎_熱_過剰,腎,熱,過剰,I033,3,2,腎熱過剰への作用(柿)
P_脾_熱_不足,脾,熱,不足,I034,3,2,脾熱不足への作用(花椒、山椒)
P_腎_熱_不足,腎,熱,不足,I034,3,2,腎熱不足への作用(花椒、山椒)
P_脾_気_不足,脾,気,不足,I035,3,2,脾気不足への作用(カツオ)
P_肝_熱_過剰,肝,熱,過剰,I036,3,2,肝熱過剰への作用(カニ)
P_心_熱_過剰,心,熱,過剰,I036,3,2,心熱過剰への作用(カニ)
P_脾_気_不足,脾,気,不足,I037,3,2,脾気不足への作用(カブ)
P_脾_水_停滞,脾,水,停滞,I037,3,2,脾水停滞への作用(カブ)
P_肺_気_不足,肺,気,不足,I037,3,2,肺気不足への作用(カブ)
P_肺_水_停滞,肺,水,停滞,I037,3,2,肺水停滞への作用(カブ)
P_腎_気_不足,腎,気,不足,I037,3,2,腎気不足への作用(カブ)
P_腎_水_停滞,腎,水,停滞,I037,3,2,腎水停滞への作用(カブ)
P_脾_気_不足,脾,気,不足,I038,3,2,脾気不足への作用(カボチャ)
P_脾_水_不足,脾,水,不足,I039,3,2,脾水不足への作用(鴨肉)
P_脾_気_不足,脾,気,不足,I040,3,2,脾気不足への作用(カリフラワー)
P_肝_気_停滞,肝,気,停滞,I041,3,2,肝気停滞への作用(カルダモン)
P_肝_水_停滞,肝,水,停滞,I041,3,2,肝水停滞への作用(カルダモン)
P_肝_熱_不足,肝,熱,不足,I041,3,2,肝熱不足への作用(カルダモン)
P_脾_気_停滞,脾,気,停滞,I041,3,2,脾気停滞への作用(カルダモン)
P_脾_水_停滞,脾,水,停滞,I041,3,2,脾水停滞への作用(カルダモン)
P_脾_熱_不足,脾,熱,不足,I041,3,2,脾熱不足への作用(カルダモン)
P_肺_気_停滞,肺,気,停滞,I041,3,2,肺気停滞への作用(カルダモン)
P_肺_水_停滞,肺,水,停滞,I041,3,2,肺水停滞への作用(カルダモン)
P_肺_熱_不足,肺,熱,不足,I041,3,2,肺熱不足への作用(カルダモン)
P_腎_気_停滞,腎,気,停滞,I041,3,2,腎気停滞への作用(カルダモン)
P_腎_水_停滞,腎,水,停滞,I041,3,2,腎水停滞への作用(カルダモン)
P_腎_熱_不足,腎,熱,不足,I041,3,2,腎熱不足への作用(カルダモン)
P_脾_熱_過剰,脾,熱,過剰,I042,3,2,脾熱過剰への作用(キウイフルーツ)
P_肝_熱_過剰,肝,熱,過剰,I043,3,2,肝熱過剰への作用(菊花)
P_心_熱_過剰,心,熱,過剰,I043,3,2,心熱過剰への作用(菊花)
P_脾_熱_過剰,脾,熱,過剰,I044,3,2,脾熱過剰への作用(キビ)
P_脾_気_不足,脾,気,不足,I045,3,2,脾気不足への作用(キャベツ)
P_脾_気_不足,脾,気,不足,I046,3,2,脾気不足への作用(牛肉)
P_脾_水_不足,脾,水,不足,I047,3,2,脾水不足への作用(牛乳)
P_肝_熱_過剰,肝,熱,過剰,I048,3,2,肝熱過剰への作用(キュウリ)
P_心_熱_過剰,心,熱,過剰,I048,3,2,心熱過剰への作用(キュウリ)
P_肺_水_不足,肺,水,不足,I049,3,2,肺水不足への作用(杏仁（きょうにん）)
P_腎_水_不足,腎,水,不足,I049,3,2,腎水不足への作用(杏仁（きょうにん）)
P_肝_気_停滞,肝,気,停滞,I050,3,2,肝気停滞への作用(キンカン)
P_脾_気_停滞,脾,気,停滞,I050,3,2,脾気停滞への作用(キンカン)
P_肺_気_停滞,肺,気,停滞,I050,3,2,肺気停滞への作用(キンカン)
P_脾_水_停滞,脾,水,停滞,I051,3,2,脾水停滞への作用(金針菜（きんしんさい）)
P_肺_水_停滞,肺,水,停滞,I051,3,2,肺水停滞への作用(金針菜（きんしんさい）)
P_腎_水_停滞,腎,水,停滞,I051,3,2,腎水停滞への作用(金針菜（きんしんさい）)
P_肺_水_不足,肺,水,不足,I052,3,2,肺水不足への作用(銀杏)
P_腎_水_不足,腎,水,不足,I052,3,2,腎水不足への作用(銀杏)
P_肝_水_停滞,肝,水,停滞,I053,3,2,肝水停滞への作用(空心菜)
P_肝_熱_過剰,肝,熱,過剰,I053,3,2,肝熱過剰への作用(空心菜)
P_心_水_停滞,心,水,停滞,I053,3,2,心水停滞への作用(空心菜)
P_心_熱_過剰,心,熱,過剰,I053,3,2,心熱過剰への作用(空心菜)
P_脾_水_停滞,脾,水,停滞,I053,3,2,脾水停滞への作用(空心菜)
P_脾_熱_過剰,脾,熱,過剰,I053,3,2,脾熱過剰への作用(空心菜)
P_肺_水_停滞,肺,水,停滞,I053,3,2,肺水停滞への作用(空心菜)
P_肺_熱_過剰,肺,熱,過剰,I053,3,2,肺熱過剰への作用(空心菜)
P_腎_水_停滞,腎,水,停滞,I053,3,2,腎水停滞への作用(空心菜)
P_腎_熱_過剰,腎,熱,過剰,I053,3,2,腎熱過剰への作用(空心菜)
P_肺_水_不足,肺,水,不足,I054,3,2,肺水不足への作用(クコの実)
P_腎_水_不足,腎,水,不足,I054,3,2,腎水不足への作用(クコの実)
P_肺_水_不足,肺,水,不足,I055,3,2,肺水不足への作用(くず（葛根）)
P_腎_水_不足,腎,水,不足,I055,3,2,腎水不足への作用(くず（葛根）)
P_肝_血_停滞,肝,血,停滞,I056,3,2,肝血停滞への作用(クラゲ)
P_肝_水_不足,肝,水,不足,I056,3,2,肝水不足への作用(クラゲ)
P_肝_熱_過剰,肝,熱,過剰,I056,3,2,肝熱過剰への作用(クラゲ)
P_心_血_停滞,心,血,停滞,I056,3,2,心血停滞への作用(クラゲ)
P_心_水_不足,心,水,不足,I056,3,2,心水不足への作用(クラゲ)
P_心_熱_過剰,心,熱,過剰,I056,3,2,心熱過剰への作用(クラゲ)
P_肺_血_停滞,肺,血,停滞,I056,3,2,肺血停滞への作用(クラゲ)
P_肺_水_不足,肺,水,不足,I056,3,2,肺水不足への作用(クラゲ)
P_肺_熱_過剰,肺,熱,過剰,I056,3,2,肺熱過剰への作用(クラゲ)
P_腎_血_停滞,腎,血,停滞,I056,3,2,腎血停滞への作用(クラゲ)
P_腎_水_不足,腎,水,不足,I056,3,2,腎水不足への作用(クラゲ)
P_腎_熱_過剰,腎,熱,過剰,I056,3,2,腎熱過剰への作用(クラゲ)
P_脾_気_不足,脾,気,不足,I057,3,2,脾気不足への作用(栗)
P_脾_気_停滞,脾,気,停滞,I058,3,2,脾気停滞への作用(グリンピース)
P_脾_熱_不足,脾,熱,不足,I059,3,2,脾熱不足への作用(クルミ)
P_腎_熱_不足,腎,熱,不足,I059,3,2,腎熱不足への作用(クルミ)
P_脾_熱_不足,脾,熱,不足,I060,3,2,脾熱不足への作用(クローブ)
P_腎_熱_不足,腎,熱,不足,I060,3,2,腎熱不足への作用(クローブ)
P_脾_水_不足,脾,水,不足,I061,3,2,脾水不足への作用(黒キクラゲ)
P_肺_水_不足,肺,水,不足,I062,3,2,肺水不足への作用(黒ゴマ)
P_腎_水_不足,腎,水,不足,I062,3,2,腎水不足への作用(黒ゴマ)
P_脾_熱_不足,脾,熱,不足,I063,3,2,脾熱不足への作用(黒砂糖)
P_腎_熱_不足,腎,熱,不足,I063,3,2,腎熱不足への作用(黒砂糖)
P_脾_水_停滞,脾,水,停滞,I064,3,2,脾水停滞への作用(黒豆)
P_肺_水_停滞,肺,水,停滞,I064,3,2,肺水停滞への作用(黒豆)
P_腎_水_停滞,腎,水,停滞,I064,3,2,腎水停滞への作用(黒豆)
P_肝_血_停滞,肝,血,停滞,I065,3,2,肝血停滞への作用(クワイ)
P_肺_水_不足,肺,水,不足,I066,3,2,肺水不足への作用(クワの実)
P_腎_水_不足,腎,水,不足,I066,3,2,腎水不足への作用(クワの実)
P_肝_血_停滞,肝,血,停滞,I067,3,2,肝血停滞への作用(紅花（こうか、べにばな）)
P_脾_気_不足,脾,気,不足,I068,3,2,脾気不足への作用(氷砂糖)
P_脾_水_不足,脾,水,不足,I068,3,2,脾水不足への作用(氷砂糖)
P_脾_熱_不足,脾,熱,不足,I069,3,2,脾熱不足への作用(コショウ)
P_肺_水_不足,肺,水,不足,I070,3,2,肺水不足への作用(小松菜)
P_腎_水_不足,腎,水,不足,I070,3,2,腎水不足への作用(小松菜)
P_脾_熱_過剰,脾,熱,過剰,I071,3,2,脾熱過剰への作用(小麦)
P_肝_熱_過剰,肝,熱,過剰,I072,3,2,肝熱過剰への作用(コンニャク)
P_心_熱_過剰,心,熱,過剰,I072,3,2,心熱過剰への作用(コンニャク)
P_肝_血_停滞,肝,血,停滞,I073,3,2,肝血停滞への作用(昆布)
P_肝_水_停滞,肝,水,停滞,I073,3,2,肝水停滞への作用(昆布)
P_脾_血_停滞,脾,血,停滞,I073,3,2,脾血停滞への作用(昆布)
P_脾_水_停滞,脾,水,停滞,I073,3,2,脾水停滞への作用(昆布)
P_肺_血_停滞,肺,血,停滞,I073,3,2,肺血停滞への作用(昆布)
P_肺_水_停滞,肺,水,停滞,I073,3,2,肺水停滞への作用(昆布)
P_腎_血_停滞,腎,血,停滞,I073,3,2,腎血停滞への作用(昆布)
P_腎_水_停滞,腎,水,停滞,I073,3,2,腎水停滞への作用(昆布)
P_脾_気_不足,脾,気,不足,I074,3,2,脾気不足への作用(サクランボ)
P_脾_水_不足,脾,水,不足,I074,3,2,脾水不足への作用(サクランボ)
P_脾_水_停滞,脾,水,停滞,I074,3,2,脾水停滞への作用(サクランボ)
P_肺_水_不足,肺,水,不足,I075,3,2,肺水不足への作用(ザクロ)
P_腎_水_不足,腎,水,不足,I075,3,2,腎水不足への作用(ザクロ)
P_脾_熱_不足,脾,熱,不足,I076,3,2,脾熱不足への作用(サケ)
P_肝_気_停滞,肝,気,停滞,I077,3,2,肝気停滞への作用(酒)
P_肝_血_停滞,肝,血,停滞,I077,3,2,肝血停滞への作用(酒)
P_脾_気_停滞,脾,気,停滞,I077,3,2,脾気停滞への作用(酒)
P_脾_血_停滞,脾,血,停滞,I077,3,2,脾血停滞への作用(酒)
P_肺_気_停滞,肺,気,停滞,I077,3,2,肺気停滞への作用(酒)
P_肺_血_停滞,肺,血,停滞,I077,3,2,肺血停滞への作用(酒)
P_脾_気_不足,脾,気,不足,I078,3,2,脾気不足への作用(サツマイモ)
P_脾_血_停滞,脾,血,停滞,I079,3,2,脾血停滞への作用(サトイモ)
P_脾_気_不足,脾,気,不足,I080,3,2,脾気不足への作用(サバ)
P_脾_気_停滞,脾,気,停滞,I081,3,2,脾気停滞への作用(ザボン)
P_脾_気_不足,脾,気,不足,I082,3,2,脾気不足への作用(山査子（さんざし）)
P_脾_血_停滞,脾,血,停滞,I082,3,2,脾血停滞への作用(山査子（さんざし）)
P_脾_気_不足,脾,気,不足,I083,3,2,脾気不足への作用(シイタケ、キノコ類)
P_肝_熱_過剰,肝,熱,過剰,I084,3,2,肝熱過剰への作用(塩)
P_心_熱_過剰,心,熱,過剰,I084,3,2,心熱過剰への作用(塩)
P_肝_熱_過剰,肝,熱,過剰,I085,3,2,肝熱過剰への作用(シジミ)
P_心_熱_過剰,心,熱,過剰,I085,3,2,心熱過剰への作用(シジミ)
P_脾_気_停滞,脾,気,停滞,I086,3,2,脾気停滞への作用(シソ)
P_脾_熱_不足,脾,熱,不足,I086,3,2,脾熱不足への作用(シソ)
P_脾_熱_不足,脾,熱,不足,I087,3,2,脾熱不足への作用(シナモン)
P_腎_熱_不足,腎,熱,不足,I087,3,2,腎熱不足への作用(シナモン)
P_脾_気_不足,脾,気,不足,I088,3,2,脾気不足への作用(ジャガイモ)
P_脾_気_停滞,脾,気,停滞,I089,3,2,脾気停滞への作用(ジャスミン)
P_脾_気_不足,脾,気,不足,I090,3,2,脾気不足への作用(春菊)
P_肝_熱_過剰,肝,熱,過剰,I091,3,2,肝熱過剰への作用(じゅんさい)
P_心_熱_過剰,心,熱,過剰,I091,3,2,心熱過剰への作用(じゅんさい)
P_脾_水_不足,脾,水,不足,I092,3,2,脾水不足への作用(ショウガ)
P_脾_熱_不足,脾,熱,不足,I092,3,2,脾熱不足への作用(ショウガ)
P_肝_熱_過剰,肝,熱,過剰,I093,3,2,肝熱過剰への作用(しょうゆ)
P_心_熱_過剰,心,熱,過剰,I093,3,2,心熱過剰への作用(しょうゆ)
P_脾_水_停滞,脾,水,停滞,I094,3,2,脾水停滞への作用(シラウオ)
P_肺_水_不足,肺,水,不足,I095,3,2,肺水不足への作用(白キクラゲ)
P_腎_水_不足,腎,水,不足,I095,3,2,腎水不足への作用(白キクラゲ)
P_肺_水_不足,肺,水,不足,I096,3,2,肺水不足への作用(白ゴマ)
P_腎_水_不足,腎,水,不足,I096,3,2,腎水不足への作用(白ゴマ)
P_肝_血_停滞,肝,血,停滞,I097,3,2,肝血停滞への作用(酢)
P_肝_熱_過剰,肝,熱,過剰,I098,3,2,肝熱過剰への作用(スイカ)
P_心_熱_過剰,心,熱,過剰,I098,3,2,心熱過剰への作用(スイカ)
P_脾_気_不足,脾,気,不足,I099,3,2,脾気不足への作用(スズキ)
P_肺_水_不足,肺,水,不足,I100,3,2,肺水不足への作用(スターフルーツ)
P_腎_水_不足,腎,水,不足,I100,3,2,腎水不足への作用(スターフルーツ)
P_肝_熱_過剰,肝,熱,過剰,I101,3,2,肝熱過剰への作用(ズッキーニ)
P_心_熱_過剰,心,熱,過剰,I101,3,2,心熱過剰への作用(ズッキーニ)
P_肺_水_不足,肺,水,不足,I102,3,2,肺水不足への作用(スッポン)
P_腎_水_不足,腎,水,不足,I102,3,2,腎水不足への作用(スッポン)
P_脾_水_停滞,脾,水,停滞,I103,3,2,脾水停滞への作用(スモモ)
P_肺_水_停滞,肺,水,停滞,I103,3,2,肺水停滞への作用(スモモ)
